	POS	dependency_head	dependency_label	doc_token_number	lemma	ne_info	sentence_number	sentence_token_number	token	cue_label
0	DT	3	det	1	the	O	1	1	The	0
1	JJ	3	amod	2	federal	O	1	2	federal	0
2	NN	4	nsubj	3	government	O	1	3	government	0
3	VBD	0	root	4	suspend	O	1	4	suspended	0
4	NNS	4	obj	5	sale	O	1	5	sales	0
5	IN	9	case	6	of	O	1	6	of	0
6	NNP	9	compound	7	U.S.	S-GPE	1	7	U.S.	0
7	NNS	9	compound	8	savings	O	1	8	savings	0
8	NNS	5	nmod	9	bond	O	1	9	bonds	0
9	IN	14	mark	10	because	O	1	10	because	0
10	NNP	14	nsubj	11	Congress	S-ORG	1	11	Congress	0
11	VBZ	14	aux	12	have	O	1	12	has	0
12	RB	14	advmod	13	not	O	1	13	n't	0
13	VBN	4	advcl	14	lift	O	1	14	lifted	0
14	DT	16	det	15	the	O	1	15	the	0
15	NN	14	obj	16	ceiling	O	1	16	ceiling	0
16	IN	19	case	17	on	O	1	17	on	0
17	NN	19	compound	18	government	O	1	18	government	0
18	NN	14	obl	19	debt	O	1	19	debt	0
19	.	4	punct	20	.	O	1	20	.	0
20	IN	3	mark	21	until	O	2	1	Until	0
21	NNP	3	nsubj	22	Congress	S-ORG	2	2	Congress	0
22	VBZ	10	advcl	23	act	O	2	3	acts	0
23	,	10	punct	24	,	O	2	4	,	0
24	DT	6	det	25	the	O	2	5	the	0
25	NN	10	nsubj	26	government	O	2	6	government	0
26	VBZ	10	aux	27	have	O	2	7	has	0
27	RB	10	advmod	28	not	O	2	8	n't	0
28	DT	10	det	29	any	O	2	9	any	0
29	NN	22	ccomp	30	authority	O	2	10	authority	0
30	TO	12	mark	31	to	O	2	11	to	0
31	VB	10	acl	32	issue	O	2	12	issue	0
32	JJ	15	amod	33	new	O	2	13	new	0
33	NN	15	compound	34	debt	O	2	14	debt	0
34	NNS	12	obj	35	obligation	O	2	15	obligations	0
35	IN	18	case	36	of	O	2	16	of	0
36	DT	18	det	37	any	O	2	17	any	0
37	NN	15	nmod	38	kind	O	2	18	kind	0
38	,	22	punct	39	,	O	2	19	,	0
39	DT	21	det	40	the	O	2	20	the	0
40	NNP	22	nsubj	41	Treasury	S-ORG	2	21	Treasury	0
41	VBD	0	root	42	say	O	2	22	said	1
42	.	22	punct	43	.	O	2	23	.	0
43	DT	2	det	44	the	O	3	1	The	0
44	NN	5	nmod:poss	45	government	O	3	2	government	0
45	POS	2	case	46	's	O	3	3	's	0
46	NN	5	compound	47	borrowing	O	3	4	borrowing	0
47	NN	6	nsubj	48	authority	O	3	5	authority	0
48	VBD	0	root	49	drop	O	3	6	dropped	0
49	IN	8	case	50	at	O	3	7	at	0
50	NN	6	obl	51	midnight	S-TIME	3	8	midnight	0
51	NNP	6	obl:tmod	52	Tuesday	S-DATE	3	9	Tuesday	0
52	IN	11	case	53	to	O	3	10	to	0
53	$	6	obl	54	$	B-MONEY	3	11	$	0
54	CD	13	compound	55	2.80	I-MONEY	3	12	2.80	0
55	CD	11	nummod	56	trillion	E-MONEY	3	13	trillion	0
56	IN	15	case	57	from	O	3	14	from	0
57	$	6	obl	58	$	B-MONEY	3	15	$	0
58	CD	17	compound	59	2.87	I-MONEY	3	16	2.87	0
59	CD	15	nummod	60	trillion	E-MONEY	3	17	trillion	0
60	.	6	punct	61	.	O	3	18	.	0
61	NN	8	nsubj:pass	62	legislation	O	4	1	Legislation	0
62	TO	3	mark	63	to	O	4	2	to	0
63	VB	1	acl	64	lift	O	4	3	lift	0
64	DT	6	det	65	the	O	4	4	the	0
65	NN	6	compound	66	debt	O	4	5	debt	0
66	NN	3	obj	67	ceiling	O	4	6	ceiling	0
67	VBZ	8	aux:pass	68	be	O	4	7	is	0
68	VBN	0	root	69	ensnarl	O	4	8	ensnarled	0
69	IN	11	case	70	in	O	4	9	in	0
70	DT	11	det	71	the	O	4	10	the	0
71	NN	8	obl	72	fight	O	4	11	fight	0
72	IN	13	mark	73	over	O	4	12	over	0
73	VBG	11	acl	74	cut	O	4	13	cutting	0
74	NNS	15	compound	75	capital-gain	O	4	14	capital-gains	0
75	NNS	13	obj	76	tax	O	4	15	taxes	0
76	.	8	punct	77	.	O	4	16	.	0
77	DT	2	det	78	the	O	5	1	The	0
78	NNP	4	nsubj	79	House	S-ORG	5	2	House	0
79	VBZ	4	aux	80	have	O	5	3	has	0
80	VBN	0	root	81	vote	O	5	4	voted	0
81	TO	6	mark	82	to	O	5	5	to	0
82	VB	4	xcomp	83	raise	O	5	6	raise	0
83	DT	8	det	84	the	O	5	7	the	0
84	NN	6	obj	85	ceiling	O	5	8	ceiling	0
85	IN	10	case	86	to	O	5	9	to	0
86	$	6	obl	87	$	B-MONEY	5	10	$	0
87	CD	12	compound	88	3.1	I-MONEY	5	11	3.1	0
88	CD	10	nummod	89	trillion	E-MONEY	5	12	trillion	0
89	,	19	punct	90	,	O	5	13	,	0
90	CC	19	cc	91	but	O	5	14	but	0
91	DT	16	det	92	the	O	5	15	the	0
92	NNP	19	nsubj:pass	93	Senate	S-ORG	5	16	Senate	0
93	VBZ	19	aux:pass	94	be	O	5	17	is	0
94	RB	19	advmod	95	not	O	5	18	n't	0
95	VBN	4	conj	96	expect	O	5	19	expected	1
